id,text
348644655786778624,@NelsonTagoona so glad that you missed the floods and saw our sunny side last Monday as we Honoured Mother Earth @ShelleyLarose
348247048841224192,@LiseMouskaal 17th Avenue is flooded from McLeod Trail &amp; west to Centre Street. I believe McLeod is flooded from 25th Ave all the way to 3rd
348097369948164097,@Crackmacs same seems like 1/2 of#yyc is shut down.... #yycflood
348245026935042048,Supreme bug protection. Cooking for a house full of refugees. #floodageddon @ Dunne/Turk Household http://t.co/jMvHHe5xZF
348263625871458304,Lies Okotoks tells itself... The river only floods once every hundred years.
347976763651010560,Is it in poor taste to inform my calgary friends that today is international surfing day?? Just sayin... #silverlinings
348128227425923074,"Hi friends, I'm safe, surrounded by water, but stocked with food and water. Just waiting it out now."
348159634999214080,Pix of Lafarge construction under water http://t.co/rTcjXJw1r4
347888872329453569,"Jamesons &amp; Rolling Rock with Darren, Tommy #albertaflood (@ Ship &amp; Anchor Pub) http://t.co/SD3ik2ZpHw"
348148343018500096,Having coffee in the Main Street of Bowness while the rest of the world thinks we are 'Underwater' @ http://t.co/rziOcrRoQ0
350434323691876355,Update - State of Local Emergency: The City of Calgary remains in a state of local emergency due to significant... http://t.co/hgyxgPfYIW
348911181437759488,Clean up effort for the Calgary flood. #yycflood #elbowpark @ Elbow And Riverdale http://t.co/2Bc1fHHJZW
349226969558298626,Spending the day helping out rural Albertans reclaim their homes. #abflood #yyc #calgarystrong [pic]: http://t.co/5Cm1NGawNs
348228850481774592,Let Jean Becq know be can work at my photo studio. #abflood #togs
349754020744806402,@TownOfHighRiver who do we contact regarding reptiles that have been rescued from homes?
349236254036066307,"Just showered in water that smells like the water I shower in when I go campingO.ewell,looks like calgarys water plant has been contaminated"
348130398624153601,"@dmgullekson: Don't be fooled, it isn't thunder, staying put would be a blunder... -Jumanji #jumanji #yyc #yycflood #staysafe"
350207462344892416,Vehicles stranded in Medicine Hat flood waters VIDEO ttp://instagram.com/p/a6uFxmC65q/
348960430535876608,Bowness residents stunned by flood's muddy devastation: A portion of Bowness felt the full brunt of the powerful... http://t.co/DD2ChCYCyX
349292185579028480,"We had so many great people come out... our cyclists delivering food for the #yycflood, delivery cars, etc! Even rcmp&amp;firefighters! Thank u!"
347942346823974912,Mayor advises everyone to avoid downtown area.  #abstorm #yyc #floodpotential
350026766112403456,Edmontonians cleaning up after flooding: City of Edmonton officials said they will be reviewing how they... http://t.co/mFp4KlNd54
348516147706073088,RT @LukaszukMLA @medicinehatcity residents do what u can to protect homes. River is staring to rise #abflood #ableg http://t.co/V2ynHdITGO
349879675809570817,A sign of all the work ahead -- no bridges on the Elbow River have re-opened. Only 30% of flooded downtown buildings have power #
349749045436235776,@SpookyBooGal just two hours from me we got severe flooding
350146165737656321,@joshclassenCTV you are dead wrong sir there is a #stormbrewing now outside my window #yegstorm #thunderstorm http://t.co/jJXgdPDpOu
350062792251949057,Shout out to Ward 9 team for their flood volunteer coordination in Erlton! Thanks for all your hard work!!! @gccarra #yycflood #Erlton #yyc
350357771474059265,"If anyone had some time and energy, Jill and I could use a few hands to help muck out our basement! #yycflood #wetsos"
347988789823684609,@PrincessSarahhh I'm petitoning Alberta gov to install new water redirection system to direct all future flood waters in Calgary to Edmonton
348126794588758016,@doogie2k my garage is all flooded. My parents live I'm bearspaw near a creek and their entire basement is flooded. My sister is evacuated
348158876480311297,The poor guy who owns this house!! #yyc #cranston #scary #ig @ Home http://t.co/Se3JNY5LRH
351579626478374913,AZ Emergency Information Network for up to date info / evacs / how to find loved ones. http://t.co/sZcCi11AhF Our prayers are with you.
348547123287044096,"@JafricanTing I feel for those who were evacuated =( Saw this photo,the dome is flooded to the 10th row of seats. http://t.co/C3Yzk7lnhj"
350400579446652929,"Watch Mayor Nenshi LIVE on Shaw TV 10, http://t.co/b4jYRg5XKU, and http://t.co/62WA8E31rG at 7pm. Call in with questions!"
348104369851494400,#abflood Glenmore Reservoir is very deep today. http://t.co/WGSXvQuojD
347929731699728384,'Mario Chalmers' shows up at this time as Trend in Edmonton http://t.co/UrEEFgdOm0
351129033628598272,rs to floods of running lights in an even greater range of hues. Tourists visiting Coruscant from other worlds often sto
348494606410854400,Overlooking a flooded city @ Crescent Heights http://t.co/hVzN2d9tJE
350823416699437056,#yyc we should keep in mind @pmharper  &amp; @Premier_Redford did exactly as they should by not meddling w/a civil leader @nenshi doing his job
348511482771816448,Calgary floods delay Conservative Party convention: The Conservative Party national policy convention which was... http://t.co/FJJ7tWJC0h
348155222780162048,"Damn, this is going to effect my golf game  #yycflood"
348995032205905922,@Richbrown458 @JoyBowenEyre we can't help yet. We're short two 2 hoses.
348172655616208897,Catching up on sleep after a sleepless night spent worrying about potential flood evacuation.  #Calgary #yycflood
348295718617878528,"People's back yards are gone, houses starting to fall in @ Canmore, AB http://t.co/lNKCSQEVUE"
348276418574159873,I just went for a walk. Ran into a man without power. Scared of losing food. Options? #yycflood
348822372545077248,@tiwilli12: Cenovus Donating $1M to #abflood relief incl. $250K immediately to @redcrosscanada; will also work w/ other community partners
348473525843148801,For all the Bus who are price gouging us for water and supplies.... Enjoy your Money... Karma is Coming !!! http://t.co/WiR1uOf7C8
348150150830628864,Just heard the Calgary Stampede has been cancelled #abflood
348901107189288961,This was all under water yesterday. (at Quarry Park) [pic]  https://t.co/jcIJiHt96r
347945641789497344,Looks like there's a lot of power outages. One in the inglewood area and Blackfoot.  #calgary
349145588949983232,Global-2 will soon be taking Medicine Hat aerials. We want to provide Albertans with the best possible info. @GlobalCalgary  #abflood
347938444087001088,"Kahanoff Building  been shut down for next 72 hours. Non-profit employees housed inside, stay home tom #yycflood @MelindaCalgary"
349689262431666177,Awww poor giraffes at the zoo. They may not make it due to all the stress. #poorbabies #BeautifulCreatures
348147747137912833,@theCHIVERY please pass the word that Alberta is in a crisis flood. Keep those affected in your thoughts.
350559558764199936,"#YYCFlood  History in the Making: History writes itself, like it or not. The beauty is that the people who... http://t.co/RHyTLTqGuQ"
350429273963769859,Down in Stanley Park helping with the flood!! Prayers #yyc @ Stanley Park Outdoor Pool http://t.co/qGyXgDm5DV
349299595559440385,Hard to prove but I bet the old pedi bridge would have not been effected by the flood. Seems to me http://t.co/17YZJUg8Nf
347892270302912512,The river along Sifton Road is encroaching on yards. Lower than Mission but running much faster. #yyc #ABflood http://t.co/C49kI8XXDY
348206630724325377,Warms my heart all the texts from people making sure I'm okay.
350251251763658752,I have been to Cambodia. And I have seen these children - they have nothing. But they're raising $ for #yycflood.  http://t.co/im3i8X9Zgh
349319603383566337,Not sure if anyone is aware ...but we're in a state if emergency. #yycflood @ Elbow And Riverdale http://t.co/ZgN7VkECdX
349831156977516544,"For the last little while, it's been really dark when I've driven through the city's downtown at 4 AM. http://t.co/4Aha8AdlAC"
350008583640989697,Canadian Prime Minister Stephen Harper's wife Laureen joins Calgary flood recovery efforts [Photos]: Prime... http://t.co/YQsAeXEn4d
348073938473062402,Yet to hear any thing bout the floods our end of the bow other then the dam has all flodd gates open
