id,text
324742043211558912,@theatticdemos @youranonnews fertilizer plant caught on fire and exploded.
324915904473354242,#Baylor students gather together to pray at campus-wide service. #prayforwest #diadeloso13 #diadelWEST http://t.co/kEeUIP0iXu
324930344660901889,"Nearly every Main St mom n pop shop closed in West, Tx... Windows shattered by blast. http://t.co/sfUbaX5uYE"
324946569529004032,@LowellMBrown @flores4congress Providence Waco says they aren't taking any more blood donations today
327138220884242432,In memory of those who lost there life in west tax this past week #west @ I-35 South http://t.co/iHMWeNzhm6
324734278552408065,"This is crazy! CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas http://t.co/FGnRORZW11"
324701092116066308,So bosquevillians... What the heck happened In west?
324952711181246464,Waiting in line with 200 other people to donate blood in Waco to donate to West. #prayersforwest @ http://t.co/4ZALy9yLqg
325693174280495105,"#WestTX city hall lawn full of journalists and photographers @ West, TX http://t.co/SGILIaLegl"
324738702083510273,@raveandrollhard there's a storm coming tonight and its going to bring all the chemicals in the air this way..
324739232524546048,@theisaiahbell apparently 70 are dead but that's for now
327460619093700608,Honor the men and women who served in West. #WestTX #prayforwest @ Ferrell Center http://t.co/qSC2xBP6xt
324755946339434496,my family &amp; friends are bruised &amp; slightly damaged but ALIVE &amp; ok.. maybe now i can rest with a little bit more ease..
324923160044642305,@RebekahH_KVUE @AndyP_KVUE @MarkW_KVUE no traffic passing through Waco on N I-35 but that could change as we get closer to West
326393782956343296,"#WestTX needs your help.  Please bring what you can.  What is needed most are cleaning supplies, bleach, gloves, &amp; laundry detergent."
324949628195848192,Does anyone know if they still need phone chargers for first responders in west?
327604180552404992,"Raw grief, service, sacrifice, community. Still thinking abt #Westmemorial. Craving light.  Need gummi bears, bubbles, giggles for the soul."
325008487795007491,Please send prayers to West my hometown
324797895838662656,"#LODD 9 first responders including 6 firefighters, 2 EMTs, and one police officer confirmed dead in West, TX. Prayers go out to the families"
327530267659096066,"MT @wacotrib: @BarackObama: America needs towns like West. That's what makes this country great, is towns like West. #WestMemorial"
327525682018127874,.@JohnCornyn: Today we honor the lives of 12 great men who gave their lives in an enduring act of love. #WestMemorial
327541857653493761,the memorial service was worth it tho  #prayforwest #toosad
326415232320811008,Very moving to see volunteer firefighters still standing their post while the rest of the community http://t.co/7DsKXzynkc
324774182405668864,@NewsChannel25  Victorious Life Church has an Emergency Shelter for the West victims. http://t.co/zfqQsOjEC5
325998191294160896,"Not aware if President will be in town just yet. Working on that. International condolences coming in from UK, Canada and Russia. @NBCDFW"
324899356845146113,My dad lost one of his life long friends last night in the West tragedy. He was a principal in West ISD. Please pray for his family &amp; West.
327499742617694209,:( don't get to see the president but I am so proud that we get to take the time to honor those from west! #westmemorial
327443679507775488,Final staging before #West Joint First Responder Procession at Baylor. (@ University Parks Dr.) [pic]: http://t.co/kB5i6Z1FYA
324960022146719746,@katonahgreen The state is supposed to be investigating the air quality. No obvious odor or adverse effects where I was.
324715237892829185,They're talking about it on CNN right now.
327582043749892096,So incredible to hear the president speak and be able to participate in a memorial for true heroes http://t.co/PuAk6w8ouh
324886816014606337,"Michael Maler, whose house was destroyed, on the #West blast: You felt the pressure first, and then BOOM! My ears are still ringing."
324734339457880065,"@EDM__Lyrics CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas http://t.co/FGnRORZW11"
324763520363290624,"Guys, it's seriously insane how close this is to Waco. Getting up and giving blood on Dia if they let me! #prayforWest"
324738528464490496,@theisaiahbell no everything is fine here it's just really bad out there I think 70 are dead...
325701769483132928,"Austin corner of volunteers at the distribution site #west @ West, TX http://t.co/0A7itc8duT"
324728756600197120,Everybody go look at MLRT!!!! It's so sad!!!
324996002874523649,Morris Bridges. West fire fighter who died in #WestExplosion @NBCDFW http://t.co/6RZGH6pmvn
327509299305795585,"RT @FLOTUS: My prayers are with the people of West, TX as we honor the victims of this tragedy. They've shown tremendous courage and resolve"
327504669620449281,We shall always remember  West Memorial Service @baylorphotos #prayforWest and #prayforBoston http://t.co/7UaKSJY0GL
324864829154287617,"On W. Spring St., half-mile from #westexploison site, windows &amp; garage doors blown in. Neighborhood mostly evacuated."
325112068049104896,Piping home the 12 firefighters as they are removed from the plant. #tough #westexplosion
324806797481349120,#PrayersForBoston#PrayersForWest#PrayersForBaylor please actually pray instead of it just being on your heartBc a lot of people need it
324877523815129088,5-15 people have perished from the explosion at West.
324707752171679745,explosions everywhere and now one in Waco? at a plant...great..now fumes all in the air...and it's dia eve...god bless us all tonight
324735879409184769,@stevenbward I live in Waco &amp; we appreciate your prayers.
324762760820965376,Thanks to all my precious friends who checked on me! #prayforWest
324921499549044737,Another coworker that lives in west has not shown up to work yet and no one has heard from her...
324721552941776896,Just heard on the radio they're evacuating the whole town of west #crazy
325067498045177856,I've never seen so many news crews and police cars in my life. This has really changed my heart and soul.#prayforwest http://t.co/KDwsCSRIsf
324879372500746241,Prayer is a powerful thing #PrayforWest
324732493280456704,Pray for the people of #West.
324786706031194113,Bad things happen to good people. #confused #West
324924932943409152,Markings being used by search and rescue crews #WestExplosion @NBCDFW http://t.co/lBwlr4naWa
324736838776549376,@EDM_promo an ammonia tank exploded about 15 min from where I'm from
324744954721234944,Pray for my neighbors in West and donate blood or care packages if you could. #bearsforwest
324873207406534659,Thank you @jayfhicks for your excellent coverage of this story! #westexploison
324927109292236800,That just crushed my heart.. #PrayForWest #RIPBuck
324733343751077889,@jblakely5 you're correct the people are getting scared because they think their baylor kids are hurt. (My parents)
326558098166788096,West Texas Community Begins Coping with Tragedy: AP / FFN http://t.co/nNOoUbtAXa
