A,B,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
348644655786778624,@NelsonTagoona so glad that you missed the floods and saw our sunny side last Monday as we Honoured Mother Earth @ShelleyLarose,21,29.30,99.00,37.24,99.00,21.00,14.29,85.71,38.10,19.05,14.29,0.00,9.52,4.76,0.00,0.00,4.76,4.76,4.76,0.00,4.76,14.29,0.00,9.52,9.52,4.76,0.00,0.00,0.00,19.05,14.29,4.76,0.00,0.00,4.76,19.05,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,9.52,4.76,4.76,0.00,0.00,9.52,0.00,0.00,19.05,0.00,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52
348247048841224192,@LiseMouskaal 17th Avenue is flooded from McLeod Trail &amp; west to Centre Street. I believe McLeod is flooded from 25th Ave all the way to 3rd,26,97.95,35.01,83.83,25.77,13.00,15.38,57.69,30.77,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,3.85,15.38,7.69,0.00,0.00,0.00,11.54,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,19.23,0.00,19.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,7.69
348097369948164097,@Crackmacs same seems like 1/2 of#yyc is shut down.... #yycflood,12,99.00,50.00,74.76,25.77,6.00,16.67,58.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,8.33,0.00,0.00,0.00,25.00,16.67,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
348245026935042048,Supreme bug protection. Cooking for a house full of refugees. #floodageddon @ Dunne/Turk Household http://t.co/jMvHHe5xZF,19,99.00,50.00,1.00,97.58,6.33,36.84,52.63,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,10.53,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,42.11,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.32
348263625871458304,Lies Okotoks tells itself... The river only floods once every hundred years.,12,81.63,79.76,23.51,1.00,6.00,16.67,75.00,25.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,16.67,8.33,8.33,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347976763651010560,Is it in poor taste to inform my calgary friends that today is international surfing day?? Just sayin... #silverlinings,19,49.71,70.08,99.00,1.00,6.33,26.32,84.21,42.11,15.79,5.26,5.26,0.00,0.00,0.00,0.00,10.53,0.00,10.53,10.53,5.26,0.00,0.00,21.05,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,10.53,0.00,5.26,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,10.53,5.26,0.00,5.26,0.00,0.00,0.00,21.05,0.00,26.32,5.26,10.53,10.53,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.58,15.79,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,5.26
348128227425923074,"Hi friends, I'm safe, surrounded by water, but stocked with food and water. Just waiting it out now.",18,46.37,50.00,98.01,98.27,9.00,22.22,100.00,50.00,11.11,5.56,5.56,0.00,0.00,0.00,0.00,5.56,0.00,16.67,5.56,11.11,11.11,0.00,16.67,5.56,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,11.11,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,16.67,11.11,0.00,0.00,0.00,5.56,5.56,11.11,0.00,22.22,0.00,11.11,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,11.11,16.67,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00
348159634999214080,Pix of Lafarge construction under water http://t.co/rTcjXJw1r4,11,99.00,50.00,2.40,25.77,11.00,27.27,45.45,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,27.27,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18
347888872329453569,"Jamesons &amp; Rolling Rock with Darren, Tommy #albertaflood (@ Ship &amp; Anchor Pub) http://t.co/SD3ik2ZpHw",17,97.21,50.00,1.00,25.77,17.00,23.53,29.41,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,70.59,5.88,5.88,0.00,11.76,0.00,0.00,0.00,0.00,0.00,11.76,35.29
348148343018500096,Having coffee in the Main Street of Bowness while the rest of the world thinks we are 'Underwater' @ http://t.co/rziOcrRoQ0,23,98.23,80.77,54.89,25.77,23.00,13.04,65.22,43.48,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,13.04,13.04,8.70,0.00,4.35,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,8.70,0.00,17.39,0.00,13.04,4.35,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,13.04
