A,B,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
296085045645570048,@thamonstar a lot of water moving around and a bit dirty. Probably should give it a miss today,18,93.26,71.09,4.97,1.00,9.00,11.11,94.44,50.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,16.67,11.11,5.56,11.11,5.56,0.00,22.22,5.56,0.00,0.00,0.00,11.11,5.56,0.00,5.56,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,16.67,0.00,0.00,5.56,11.11,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56
295322319302295552,"To ALL of my friends,in the UK &amp; Australia,stay safe &amp; look after yourself &amp; your loved ones",20,98.58,99.00,43.37,99.00,20.00,15.00,70.00,40.00,15.00,15.00,5.00,0.00,10.00,0.00,0.00,0.00,5.00,20.00,0.00,0.00,0.00,0.00,10.00,10.00,5.00,0.00,0.00,5.00,10.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,0.00,0.00,5.00,0.00,10.00,0.00,15.00,5.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,10.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
295412327640080384,Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t,14,99.00,50.00,13.15,1.00,14.00,28.57,50.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,7.14,0.00,7.14,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57
295706437026455553,"#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods",19,86.88,14.62,19.27,25.77,9.50,36.84,57.89,36.84,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,15.79,5.26,0.00,5.26,5.26,10.53,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,5.26,15.79,0.00,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.58,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,26.32
295681670592471042,".....the rowing club next to out apartment block is underwater, warm &amp; wet....",13,99.00,50.00,17.46,99.00,13.00,15.38,76.92,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,15.38,7.69,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38,0.00,7.69,7.69,0.00,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.31,69.23,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69
295679702218194945,North end of Clarendon St in East Brisbane is flooded :/ #bigwet http://t.co/uMzPDtbi,17,97.21,50.00,66.34,25.77,17.00,23.53,47.06,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,23.53,0.00,17.65,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,11.76,0.00,0.00,0.00,23.53,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65
295470181176729602,The flooding in firth park is insane!! Mudgeeraba Creek is putting on a show!!! Not one you get involved in tho its view from a distance!,26,93.26,64.99,63.54,25.77,8.67,19.23,80.77,50.00,7.69,3.85,0.00,0.00,3.85,0.00,0.00,3.85,11.54,15.38,7.69,3.85,3.85,3.85,11.54,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,3.85,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,3.85,0.00,0.00,11.54,0.00,19.23,3.85,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00
295701715309715456,Tree down at Crosby park in storms last night #bneweather http://t.co/6G18HGxe,16,99.00,50.00,95.60,25.77,16.00,6.25,37.50,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,31.25,0.00,18.75,12.50,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,25.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75
295802797461471232,"Here we go again, keep safe everyone! #nofilter @ Albion http://t.co/s1gSpyEx",14,29.30,98.33,13.15,99.00,7.00,21.43,57.14,28.57,14.29,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,14.29,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,7.14,0.00,14.29,0.00,14.29,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,50.00,7.14,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,28.57
295433453346910209,A little too close for comfort... #cyclone #wet #floodedin #downthestreet @ Coorparoo http://t.co/iUGUHN6h,16,97.36,50.00,7.84,99.00,8.00,37.50,50.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,68.75,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.75
