A,B,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
263044104500420609,Sandy be soooo mad that she be shattering our doors and shiet #HurricaneSandy,13,1.00,98.93,1.00,1.00,13.00,15.38,76.92,53.85,23.08,15.38,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,15.38,7.69,7.69,0.00,15.38,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,15.38,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,15.38,0.00,7.69,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69
263101347421888513,Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #sandy @ 300 Squad http://t.co/QbpGdm3w,20,98.58,84.14,3.37,25.77,10.00,35.00,50.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,5.00,5.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
263298821189156865,I don't know how I'm getting back to Jersey since the trains and subways aren't running...,16,1.92,1.00,99.00,25.77,16.00,18.75,81.25,62.50,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,6.25,12.50,18.75,12.50,12.50,12.50,37.50,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,6.25,12.50,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,25.00,0.00,18.75,6.25,6.25,12.50,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00
262914476989358080,Already flooded so much #SANDY @ Hoboken http://t.co/MPhft4a8,11,32.58,50.00,2.40,25.77,11.00,36.36,54.55,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,45.45,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.36
262991999911743490,"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",15,52.71,50.00,43.37,99.00,7.50,26.67,80.00,46.67,26.67,6.67,6.67,0.00,0.00,0.00,0.00,20.00,6.67,6.67,0.00,0.00,6.67,0.00,20.00,13.33,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,6.67,6.67,0.00,13.33,6.67,13.33,6.67,13.33,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67,0.00,13.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67
262767536540643329,@codyfinz my house is creeking... Does that mean she's trying to break in?,13,24.14,50.00,63.54,25.77,6.50,15.38,84.62,53.85,23.08,15.38,7.69,0.00,0.00,7.69,0.00,7.69,0.00,15.38,23.08,0.00,0.00,0.00,38.46,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,15.38,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,30.77,0.00,15.38,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.15,23.08,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,7.69
262653983838048256,debating going home in prep for #sandy,7,99.00,50.00,89.63,25.77,7.00,14.29,71.43,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,28.57,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
262771779553087488,By 11am it's going to be 100% chance of rain #HurricaneSandy,11,93.26,50.00,2.40,25.77,11.00,9.09,63.64,45.45,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,27.27,18.18,0.00,0.00,0.00,27.27,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,18.18
263047213490507776,@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.,23,96.43,80.77,9.25,99.00,4.60,8.70,73.91,39.13,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,8.70,13.04,8.70,4.35,0.00,0.00,21.74,4.35,4.35,0.00,13.04,0.00,8.70,8.70,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,4.35,13.04,4.35,4.35,0.00,0.00,4.35,8.70,13.04,0.00,13.04,8.70,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.09,17.39,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35
263041963757031425,"It's crazy out there, not gonna lie I'm kind of scared.",10,1.92,1.00,99.00,1.00,10.00,10.00,90.00,50.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,20.00,10.00,0.00,10.00,30.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,40.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00
