A,B,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
324742043211558912,@theatticdemos @youranonnews fertilizer plant caught on fire and exploded.,9,93.26,50.00,58.07,25.77,9.00,44.44,55.56,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,22.22,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22
324915904473354242,"#Baylor students gather together to pray at campus-wide service. #prayforwest #diadeloso13 #diadelWEST http://t.co/kEeUIP0iXu",18,98.87,86.68,23.51,25.77,9.00,38.89,55.56,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.11,0.00,5.56,0.00,0.00,0.00,0.00,5.56,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,5.56,0.00,5.56,0.00,5.56,0.00,0.00,0.00,50.00,11.11,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,33.33
324930344660901889,"Nearly every Main St mom n pop shop closed in West, Tx... Windows shattered by blast. http://t.co/sfUbaX5uYE",21,96.66,68.29,13.15,25.77,7.00,14.29,47.62,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,4.76,0.00,9.52,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,4.76,4.76,4.76,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,38.10,23.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52
324946569529004032,@LowellMBrown @flores4congress Providence Waco says they aren't taking any more blood donations today,13,43.96,50.00,17.46,25.77,13.00,30.77,69.23,15.38,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,7.69,23.08,7.69,7.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,7.69,0.00,7.69,7.69,0.00,7.69,0.00,7.69,7.69,0.00,0.00,0.00,15.38,7.69,0.00,0.00,7.69,0.00,0.00,23.08,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38
327138220884242432,In memory of those who lost there life in west tax this past week #west @ I-35 South http://t.co/iHMWeNzhm6,23,80.93,50.00,99.00,1.00,23.00,4.35,78.26,34.78,17.39,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,13.04,0.00,4.35,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,8.70,0.00,0.00,30.43,0.00,21.74,8.70,4.35,0.00,0.00,4.35,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,17.39
324734278552408065,"This is crazy! CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas http://t.co/FGnRORZW11",17,93.26,50.00,28.81,1.00,8.50,17.65,41.18,23.53,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,11.76,5.88,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,17.65,5.88,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,35.29,5.88,5.88,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76
324701092116066308,So bosquevillians... What the heck happened In west?,8,72.69,10.58,74.76,25.77,4.00,25.00,87.50,50.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,12.50,0.00,12.50,12.50,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,50.00,37.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
324952711181246464,Waiting in line with 200 other people to donate blood in Waco to donate to West. #prayersforwest @ http://t.co/4ZALy9yLqg,23,99.00,50.00,54.89,25.77,11.50,8.70,65.22,30.43,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,26.09,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00,0.00,8.70,4.35,17.39,0.00,13.04,4.35,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39
325693174280495105,"#WestTX city hall lawn full of journalists and photographers @ West, TX http://t.co/SGILIaLegl",16,93.26,50.00,95.60,25.77,16.00,18.75,62.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,31.25,0.00,31.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,37.50,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
324738702083510273,@raveandrollhard there's a storm coming tonight and its going to bring all the chemicals in the air this way..,19,93.26,50.00,99.00,25.77,19.00,15.79,84.21,47.37,10.53,0.00,0.00,0.00,0.00,0.00,0.00,10.53,15.79,10.53,5.26,5.26,5.26,0.00,21.05,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,15.79,36.84,15.79,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26
